date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2012-05-01,19,11,0.0,12.4,4,68,02:17 PM,02:41 AM,05:16 AM,08:04 PM,12,15,15,15,14,57,83,7.0,1016,19,9,201,9,Brussels
2012-05-02,14,8,0.0,11.4,3,75,03:36 PM,03:04 AM,05:14 AM,08:06 PM,10,10,11,10,16,79,93,4.9,1016,14,6,274,11,Brussels
2012-05-03,16,7,0.0,11.4,3,82,04:57 PM,03:28 AM,05:13 AM,08:08 PM,10,10,11,10,13,66,89,2.0,1011,16,6,212,9,Brussels
2012-05-04,18,8,0.0,14.5,4,88,06:20 PM,03:54 AM,05:11 AM,08:09 PM,9,11,12,11,14,37,85,0.8,1006,18,7,240,9,Brussels
2012-05-05,11,6,0.0,9.4,2,95,07:45 PM,04:24 AM,05:09 AM,08:11 PM,7,6,8,6,19,93,91,3.9,1006,11,6,81,13,Brussels
2012-05-06,12,5,0.0,10.4,2,98,09:06 PM,05:01 AM,05:07 AM,08:12 PM,5,5,8,5,17,73,86,2.2,1011,12,7,35,12,Brussels
2012-05-07,15,3,0.0,13.5,3,91,10:19 PM,05:48 AM,05:06 AM,08:14 PM,7,9,10,9,13,56,82,0.6,1016,15,8,134,8,Brussels
2012-05-08,19,9,0.0,12.5,4,85,11:21 PM,06:45 AM,05:04 AM,08:15 PM,11,13,14,13,27,50,85,2.1,1011,19,10,176,17,Brussels
2012-05-09,19,12,0.0,10.5,4,78,No moonrise,07:52 AM,05:02 AM,08:17 PM,14,15,16,15,20,80,90,11.2,1012,19,10,204,13,Brussels
2012-05-10,23,14,0.0,11.5,5,71,12:08 AM,09:05 AM,05:01 AM,08:18 PM,17,19,20,19,33,57,90,10.1,1015,23,8,201,19,Brussels
2012-05-11,18,10,0.0,12.6,4,64,12:46 AM,10:19 AM,04:59 AM,08:20 PM,12,15,15,15,24,50,84,3.3,1022,18,10,259,15,Brussels
2012-05-12,13,6,0.0,14.5,3,58,01:16 AM,11:33 AM,04:58 AM,08:21 PM,6,8,9,8,16,22,82,1.2,1034,13,7,297,11,Brussels
2012-05-13,15,2,0.0,14.5,4,51,01:41 AM,12:44 PM,04:56 AM,08:23 PM,5,9,9,9,8,14,76,0.0,1031,15,8,79,5,Brussels
2012-05-14,16,5,0.0,14.5,4,44,02:02 AM,01:53 PM,04:55 AM,08:24 PM,6,9,11,9,19,9,74,0.0,1018,16,10,236,12,Brussels
2012-05-15,11,5,0.0,13.6,2,37,02:21 AM,02:59 PM,04:53 AM,08:26 PM,6,5,8,5,21,62,89,8.2,1012,11,8,266,14,Brussels
2012-05-16,11,4,0.0,14.5,2,30,02:41 AM,04:05 PM,04:52 AM,08:27 PM,4,6,8,6,19,25,80,3.2,1023,11,10,276,13,Brussels
2012-05-17,15,3,0.0,13.6,3,24,03:02 AM,05:10 PM,04:50 AM,08:29 PM,5,8,10,8,15,36,74,0.1,1020,15,10,134,10,Brussels
2012-05-18,16,9,0.0,11.7,3,17,03:24 AM,06:14 PM,04:49 AM,08:30 PM,9,11,13,11,26,67,80,2.1,1007,16,9,164,16,Brussels
2012-05-19,20,10,0.0,13.6,4,10,03:50 AM,07:18 PM,04:48 AM,08:31 PM,12,14,15,14,14,52,84,4.7,1010,20,8,172,9,Brussels
2012-05-20,21,12,0.0,12.7,4,3,04:20 AM,08:17 PM,04:46 AM,08:33 PM,14,16,16,16,13,73,90,6.8,1007,21,7,117,8,Brussels
2012-05-21,21,12,0.0,9.9,4,3,04:56 AM,09:14 PM,04:45 AM,08:34 PM,14,15,15,15,23,93,91,0.2,1003,21,7,290,15,Brussels
2012-05-22,22,12,0.0,13.6,4,10,05:40 AM,10:03 PM,04:44 AM,08:35 PM,14,16,17,16,17,62,89,0.5,1009,22,9,307,12,Brussels
2012-05-23,25,10,0.0,14.5,5,17,06:30 AM,10:46 PM,04:43 AM,08:37 PM,15,17,18,17,10,31,88,1.1,1020,25,7,285,7,Brussels
2012-05-24,25,13,0.0,14.5,5,24,07:29 AM,11:23 PM,04:42 AM,08:38 PM,18,21,21,20,14,41,88,8.9,1024,25,6,151,8,Brussels
2012-05-25,22,14,0.0,14.5,5,31,08:32 AM,11:54 PM,04:40 AM,08:39 PM,14,18,19,18,26,2,80,0.4,1023,22,10,72,16,Brussels
2012-05-26,22,13,0.0,14.5,5,37,09:39 AM,No moonset,04:39 AM,08:41 PM,14,18,19,18,23,3,77,0.0,1020,22,10,77,14,Brussels
2012-05-27,24,12,0.0,14.5,6,44,10:49 AM,12:20 AM,04:38 AM,08:42 PM,14,19,20,19,15,10,76,0.3,1019,24,9,79,9,Brussels
2012-05-28,24,14,0.0,14.5,6,51,12:01 PM,12:44 AM,04:37 AM,08:43 PM,15,19,20,19,14,5,80,1.4,1017,24,9,254,9,Brussels
2012-05-29,23,11,0.0,14.5,4,58,01:16 PM,01:07 AM,04:37 AM,08:44 PM,14,17,17,17,13,12,84,13.8,1016,23,9,289,8,Brussels
2012-05-30,23,10,0.0,14.5,6,64,02:32 PM,01:29 AM,04:36 AM,08:45 PM,14,17,18,17,7,30,82,1.4,1018,23,9,236,5,Brussels
2012-05-31,20,13,0.0,12.7,4,71,03:53 PM,01:53 AM,04:35 AM,08:46 PM,14,16,16,16,21,57,86,3.4,1018,20,9,260,15,Brussels
